id,name,code,is_active,created_at,updated_at
892f3e37-e812-4728-9de0-73878c190469,Cutter & Buck,CB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8949ce83-42eb-469f-80c2-91def6f8c8b4,Bella+Canvas,BEL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8994f661-535f-4203-87b3-dd5629365ef6,RIGGS Workwear,RIG,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
89d2cc87-b093-4b54-a1f0-5bcf5c1c1d57,Svane & Co.,SV,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8a52f311-54de-4184-b2f1-3ce59adba3e1,Mallcom India,MLC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8a5671ff-a7b8-4f6f-882d-e6b163a54d5f,Helly Hansen Workwear,HHW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8af8a912-c604-4520-9e0a-1fbfb96b7c09,Russell,RUS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8b4315de-bb2b-48de-a62a-624ef3e6cc24,Lift Safety,LIF,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8bfe142e-373f-4acc-a713-527ffde50fec,Moldex,MOL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8c2c393b-ca09-4cdb-b787-dd78e4d776ec,Majestic,MAJ,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8e2d1f52-7563-4f1d-ad24-91b81c35cc06,TKH Group,TKH,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
8e527da8-6d84-4120-858e-481dc4f6ece0,Black & Match,BLM,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
90eb415f-47ff-487b-8191-3f208fbb5f5a,Regatta Professional,RGP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
91a4bc67-0b72-4c30-b910-1ca44911d1c0,Carolina,CRO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
92411dc1-ba1d-4833-8a6e-c92b167edea5,Stedman,STD,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
92b68f4e-2a6e-43d7-bb8d-8896f915b2b5,Skanwear,SKW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
930fa494-d862-41d2-8d92-080e4d152459,Stapp,STP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
96dfd932-7154-45c5-9ed3-931a5efb23ad,Delta Plus Group,DPG,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
97d14c7b-45fc-4db3-94ee-570f23a276a3,Havep,HAV,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9a35567f-99e5-4024-a344-6c71c08a382b,Snickers Workwear,SNC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9ab28b77-3926-4223-b2cf-886279d4145e,Jack & Jones Workwear,JJ,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9b04ccca-daf9-4e27-9868-2c12cbe58217,Edwards Garment,EDW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9b3297de-ed7e-46de-98be-1079da13c871,Next Level Apparel,NLA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9bffd6c5-5667-4434-a3e5-341ee2ed53e7,Jobman,JOB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9e997e21-ad03-494d-bb4a-3418d746dbc7,Walls,WAL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
9eda1e08-aadf-4346-bb37-3ef25bc15fa4,Neutral,NEU,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
a2216a92-4134-42fe-9977-830f8994b3eb,AS Arbeitsschutz,ASA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
a6c2c055-ea9a-4a50-96f4-efb8e1687163,Industrial Starter,INS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
a6da3a0e-47cb-4698-bbf8-5b18e3cd25bd,Image Workwear,IMG,true,2025-12-12 14:52:45.711051+00,2025-12-12 14:52:45.711051+00
a75b17fb-4143-4b09-96d9-49c078b37923,Comfort Colors,CCO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
